seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
FBA.00115-S	B0019I3HIE	B0019I3HIE	NewItem	SELLABLE	31
FBA.00528	B005HJ0NYW	B005HJ0NYW	NewItem	SELLABLE	2
FBA.00710	B003NT7STQ	B003NT7STQ	NewItem	SELLABLE	1
FBA.00828	B00B5GG38G	B00B5GG38G	NewItem	SELLABLE	4
FBA.00930	B002RYZ458	B002RYZ458	NewItem	SELLABLE	0
FBA.00930	B002RYZ458	B002RYZ458	NewItem	UNSELLABLE	1
FBA.01045	B000ZD63Q2	B000ZD63Q2	NewItem	SELLABLE	2
FBA.00720	B000R4KNE2	B000R4KNE2	NewItem	SELLABLE	0
FBA.01010	B0037F1WF2	B0037F1WF2	NewItem	SELLABLE	0
FBA.01041	B000R4KNDS	B000R4KNDS	NewItem	SELLABLE	6
